0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B75,B75,B75,B75,B75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E88,E88,E88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E88,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B75,B75,B75,B75,B75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E88,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B75,B75,B75,B75,B75,0,0,0,0,0,0,0,0,0,0,0,I84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E88,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E88,E88,E88,0,0,0,0,0,0,0,0,B75,B75,B75,B75,B75,0,0,0,0,0,0,0,0,0,0,I84,S386,S386,S386,S386,C270,S386,S386,S386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I84,0,0,0,0,0,0,0,I84,0,S417,A394,S417,S417,S417,S417,S417,S417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417
S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,C270,S386,B74,S386,S386,C270,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S386,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417
S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,A394,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,D181,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,D181,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,D181,S417,S417,B75,S417,S417,S417,A394,S417,S417,S417,A394,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,D181,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417
S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,A394,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,D181,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,D181,S417,B75,S417,S417,S417,S417,A394,S417,A394,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,D181,A394,S417,A394,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417
S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,A394,A394,A394,S417,S417,B163,B163,B163,B163,S417,S417,S417,S417,S417,D181,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,D181,B75,S417,S417,S417,S417,S417,A394,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,D181,A394,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417,S417
